age,page,workst,pworkst,sex,psex,samesex,reldur,reldur_class,cohab,nkidsliv_class,relsat,prelsat,relint,prelint,tf_kiss,tf_hold,tf_hug,ptf_kiss,ptf_hold,ptf_hug,omo15i1_w2b,omo16i1_w2b,omo17i1_w2b,omo15i2_w2b,omo16i2_w2b,omo17i2_w2b,pomo15i1_w2b,pomo16i1_w2b,pomo17i1_w2b,pomo15i2_w2b,pomo16i2_w2b,pomo17i2_w2b,agediff_class,confm,pconfm,loneliness,ploneliness,lifsat,plifsat,extr,agree,consc,open,neur,depr,pdepr,self,pself,health,phealth,consv,god,pgod,pextr,pagree,pconsc,popen,pneur,east,peast,degurba,pdegurba,married,pconsv,ykage_class_w2b,pisced11,isced11
51,53,"Part-time activity","Full time activity","Female","Male","Different sex",17.91667,"11-20","Cohabiting","2","9","10 - Completely satisfied",23,24,"21-50x","6-10x","6-10x","11-20x","11-20x","6-10x","21 to 50 times","6 to 10 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","21 to 50 times","21 to 50 times","21 to 50 times","2-5y. older partner",24,23,"1 - Not at all","1 - Not at all","8","9",9,13,13,10,5,3,4,13,13,3,4,10,8,8,10,9,12,11,5,"West Germany","West Germany","Town or suburb","Town or suburb","Married",17,"6-13",6,6
51,47,"Full time activity","Home","Male","Female","Different sex",22.08333,"21+","Cohabiting","3+","8","8",22,24,"1-5x","1-5x","0x","0x","0x","1-5x","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","Not at all","Not at all","Not at all","1 to 5 times","6 to 10 times","Not at all","1 to 5 times","2-5y. younger partner",22,29,"1 - Not at all","3","8","7",10,12,12,9,5,3,7,15,12,3,3,21,2,0,8,12,8,9,9,"West Germany","West Germany","Town or suburb","Town or suburb","Married",8,"6-13",6,6
31,31,"Part-time activity","Full time activity","Female","Male","Different sex",11.91667,"11-20","Cohabiting","1","6","7",23,21,"1-5x","1-5x","1-5x","1-5x","6-10x","6-10x","1 to 5 times","1 to 5 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","Same age",25,22,"3","1 - Not at all","5","8",6,10,13,8,11,7,4,9,12,3,4,12,0,0,9,10,11,11,7,"West Germany","West Germany","City","City","Married",10,"0-1",6,6
50,53,,"Full time activity","Female","Male","Different sex",33.33333,"21+","Cohabiting","3+","8","9",23,25,"> 50x","> 50x","21-50x","11-20x","11-20x","11-20x","More than 50 times","More than 50 times","21 to 50 times","No answer","No answer","No answer","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","2-5y. older partner",24,23,"2","2","6","8",12,10,11,12,10,5,4,12,12,3,3,20,6,7,8,10,8,9,6,"West Germany","West Germany","Town or suburb","Town or suburb","Married",18,"14-17",6,3
40,41,"Part-time activity","Full time activity","Female","Male","Different sex",21,"21+","Cohabiting","2","9","8",20,24,"11-20x","1-5x","1-5x","6-10x","0x","1-5x","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times","6 to 10 times","Not at all","1 to 5 times","11 to 20 times","Not at all","1 to 5 times","Same age",21,28,"2","1 - Not at all","9","8",7,13,10,7,5,4,3,12,13,4,4,9,2,0,11,11,13,7,4,"West Germany","West Germany","City","City","Married",7,"6-13",6,6
50,48,"Full time activity","Part-time activity","Male","Female","Different sex",23.08333,"21+","Cohabiting","2","8","8",24,22,"11-20x","1-5x","6-10x","11-20x","1-5x","1-5x","11 to 20 times","1 to 5 times","6 to 10 times","11 to 20 times","1 to 5 times","6 to 10 times","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","11 to 20 times","2-5y. younger partner",25,21,"1 - Not at all","1 - Not at all","7","7",9,11,15,7,6,5,4,13,15,3,4,14,7,8,9,11,10,9,4,"West Germany","West Germany","City","City","Married",7,"6-13",6,6
39,36,"Part-time activity","Full time activity","Female","Male","Different sex",19.41667,"11-20","Cohabiting","2","7","6",18,19,"1-5x","1-5x","1-5x","1-5x","6-10x","1-5x","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","2-5y. younger partner",21,21,"2","1 - Not at all","8","7",11,11,10,7,12,4,3,9,13,4,4,11,10,7,12,8,11,9,7,"West Germany","West Germany","Town or suburb","Town or suburb","Married",13,"2-5",6,4
49,48,"Full time activity","Part-time activity","Male","Female","Different sex",26.91667,"21+","Cohabiting","3+","8","4",12,15,"11-20x","11-20x","11-20x","6-10x","6-10x","1-5x","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","6 to 10 times","6 to 10 times","1 to 5 times","21 to 50 times","More than 50 times","21 to 50 times","Same age",14,13,"5 - Absolutely","1 - Not at all","5","10 - Completely satisfied",10,7,11,9,10,6,4,6,15,2,3,,10,10,15,13,15,11,5,"West Germany","West Germany","City","City","Married",21,"14-17",2,3
41,40,"Full time activity","Full time activity","Male","Female","Different sex",3,"3-5","Separate households","0","8","7",21,,"0x","0x","0x","0x","0x","0x","Not at all","Not at all","Not at all","1 to 5 times","1 to 5 times","21 to 50 times","Not at all","Not at all","Not at all","1 to 5 times","1 to 5 times","1 to 5 times","Same age",24,,"3","3","8","6",7,11,8,9,7,4,6,12,10,3,4,24,2,5,6,10,9,9,8,"West Germany",,"Town or suburb",,"Not married",19,,,3
51,51,"Part-time activity","Full time activity","Female","Male","Different sex",24.25,"21+","Cohabiting","2","5","9",18,24,"1-5x","1-5x","1-5x","21-50x","> 50x","6-10x","1 to 5 times","1 to 5 times","1 to 5 times","11 to 20 times","11 to 20 times","6 to 10 times","21 to 50 times","More than 50 times","6 to 10 times","21 to 50 times","More than 50 times","6 to 10 times","Same age",18,23,"1 - Not at all","5 - Absolutely","3","8",9,11,13,10,10,6,3,11,9,3,5,9,1,7,9,10,15,10,6,"West Germany","West Germany","Town or suburb","Town or suburb","Married",19,"14-17",3,3
41,43,"Part-time activity","Full time activity","Female","Male","Different sex",22.75,"21+","Cohabiting","2","8","9",22,22,"1-5x","1-5x","1-5x","21-50x","21-50x","> 50x","1 to 5 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","2-5y. older partner",22,22,"2","2","6","8",8,10,12,10,9,6,5,9,12,2,4,13,7,7,11,9,13,8,10,"East Germany","East Germany","Rural area","Rural area","Married",21,"6-13",6,3
30,31,"Full time activity","Full time activity","Female","Male","Different sex",6.333333,"6-10","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",24,24,"21-50x","> 50x","21-50x","21-50x","11-20x","11-20x","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","Same age",26,25,"1 - Not at all","1 - Not at all","10 - Completely satisfied","10 - Completely satisfied",11,14,11,7,4,4,4,13,13,5,5,11,0,0,15,8,14,10,7,"West Germany","West Germany","City","City","Married",11,,6,6
29,30,"Full time activity","Full time activity","Female","Male","Different sex",8.666667,"6-10","Cohabiting","0","7","9",20,21,"6-10x","6-10x","6-10x","> 50x","21-50x","11-20x","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","More than 50 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","Same age",18,26,"1 - Not at all","1 - Not at all","6","6",8,13,15,6,9,6,6,9,11,4,3,16,3,7,10,8,10,7,9,"West Germany","West Germany","Town or suburb","Town or suburb","Married",18,,3,6
30,36,"Full time activity","Full time activity","Female","Male","Different sex",8.5,"6-10","Cohabiting","0","9","8",23,21,"21-50x","11-20x","11-20x","6-10x","11-20x","6-10x","21 to 50 times","11 to 20 times","11 to 20 times","No answer","No answer","No answer","6 to 10 times","11 to 20 times","6 to 10 times","11 to 20 times","21 to 50 times","11 to 20 times","6-10y. older partner",23,24,"2","2","8","8",12,11,11,10,8,5,3,13,8,5,4,10,7,0,10,7,9,9,9,"West Germany","West Germany","Rural area","Rural area","Married",19,,6,4
51,50,"Full time activity","Home","Male","Female","Different sex",32.5,"21+","Cohabiting","2","9","10 - Completely satisfied",25,27,"21-50x","11-20x","1-5x","21-50x","21-50x","11-20x","21 to 50 times","11 to 20 times","1 to 5 times","21 to 50 times","11 to 20 times","1 to 5 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","Same age",27,25,"1 - Not at all","1 - Not at all","8","10 - Completely satisfied",10,13,11,7,9,3,4,14,13,4,4,19,0,1,9,14,12,10,7,"West Germany","West Germany","Town or suburb","Town or suburb","Married",19,"14-17",6,6
39,40,"Full time activity","Full time activity","Male","Female","Different sex",20.16667,"11-20","Cohabiting","1","7","7",23,19,"1-5x","6-10x","1-5x","1-5x","1-5x","1-5x","1 to 5 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","Same age",25,22,"2","3","7","7",9,11,13,10,7,6,6,11,10,3,3,15,0,3,9,12,12,12,10,"West Germany","West Germany","City","City","Married",19,"6-13",6,6
48,53,"Part-time activity","Full time activity","Female","Male","Different sex",30.91667,"21+","Cohabiting","2","9","10 - Completely satisfied",22,24,"21-50x","> 50x","21-50x","21-50x","11-20x","11-20x","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","No answer","No answer","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","2-5y. older partner",23,22,"3","1 - Not at all","7","10 - Completely satisfied",9,13,13,9,12,,3,7,15,4,4,12,8,9,10,11,11,6,4,"West Germany","West Germany","Town or suburb","Town or suburb","Married",18,"18+",6,3
50,36,"Home","Full time activity","Male","Female","Different sex",13.41667,"11-20","Cohabiting","0","5","8",17,19,"11-20x","0x","1-5x","11-20x","11-20x","6-10x","11 to 20 times","Not at all","1 to 5 times","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","6 to 10 times","No answer","No answer","No answer","> 10y. younger partner",19,,"3","2","3","8",6,9,13,6,12,9,4,7,12,2,4,27,3,6,11,15,15,14,7,"West Germany","West Germany","Town or suburb","Town or suburb","Not married",16,,4,3
30,32,"Full time activity","Full time activity","Female","Male","Different sex",4.75,"3-5","Cohabiting","0","7","10 - Completely satisfied",22,21,"> 50x","21-50x","11-20x","11-20x","1-5x","11-20x","More than 50 times","21 to 50 times","11 to 20 times","More than 50 times","21 to 50 times","11 to 20 times","11 to 20 times","1 to 5 times","11 to 20 times","11 to 20 times","1 to 5 times","11 to 20 times","2-5y. older partner",24,21,"3","3","7","6",9,11,8,13,12,7,6,11,9,4,4,16,10,0,6,11,7,10,9,"West Germany","West Germany","Town or suburb","Town or suburb","Not married",14,,6,3
41,45,"Part-time activity","Full time activity","Female","Male","Different sex",23.66667,"21+","Cohabiting","3+","8","7",22,21,"6-10x","6-10x","6-10x","6-10x","1-5x","1-5x","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","11 to 20 times","11 to 20 times","6 to 10 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times","2-5y. older partner",25,22,"2","1 - Not at all","7","8",6,12,11,10,7,6,5,10,12,4,3,10,10,9,8,11,13,10,5,"West Germany","West Germany","Town or suburb","Town or suburb","Married",14,"6-13",6,4
42,37,"Full time activity","Home","Male","Female","Different sex",13.16667,"11-20","Cohabiting","2","8","7",26,24,"11-20x","11-20x","11-20x","11-20x","11-20x","11-20x","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","More than 50 times","More than 50 times","More than 50 times","2-5y. younger partner",26,28,"3","1 - Not at all","9","8",10,12,11,11,7,4,5,13,12,3,4,26,1,2,10,12,10,12,8,"West Germany","West Germany","City","City","Married",11,"0-1",6,6
31,35,"Full time activity","Full time activity","Female","Male","Different sex",10.75,"6-10","Cohabiting","0","10 - Completely satisfied","9",22,,"> 50x","> 50x","> 50x","> 50x","> 50x","> 50x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","21 to 50 times","2-5y. older partner",22,,"1 - Not at all","2","10 - Completely satisfied","9",10,13,8,10,7,6,4,15,9,3,4,9,0,0,9,11,12,8,8,"West Germany","West Germany","City","City","Married",12,,3,4
50,71,"Full time activity","Home","Female","Male","Different sex",24.16667,"21+","Cohabiting","0","7","7",23,28,"11-20x","6-10x","1-5x","11-20x","6-10x","1-5x","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","> 10y. older partner",20,25,"2","1 - Not at all","8","6",9,13,10,10,6,5,3,12,11,3,3,23,7,0,8,10,10,10,5,"East Germany",,"Rural area",,"Married",21,,6,3
38,34,"Full time activity","Full time activity","Male","Female","Different sex",14.91667,"11-20","Cohabiting","2","6","7",18,18,"1-5x","1-5x","1-5x","1-5x","0x","1-5x","1 to 5 times","1 to 5 times","1 to 5 times","21 to 50 times","21 to 50 times","21 to 50 times","1 to 5 times","Not at all","1 to 5 times","11 to 20 times","1 to 5 times","11 to 20 times","2-5y. younger partner",18,22,"2","2","6","8",9,8,10,15,5,5,4,13,10,5,4,14,2,5,10,14,7,12,7,"West Germany","West Germany","City","City","Married",13,"0-1",3,6
51,55,"Part-time activity","Full time activity","Female","Male","Different sex",32.91667,"21+","Cohabiting","1","10 - Completely satisfied","9",29,23,"1-5x","11-20x","6-10x","11-20x","11-20x","11-20x","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","2-5y. older partner",,26,"1 - Not at all","1 - Not at all","8","9",14,12,14,10,5,3,3,15,15,4,4,7,8,8,9,11,14,12,4,"West Germany","West Germany","Town or suburb","Town or suburb","Married",8,"18+",6,6
51,41,"Full time activity","Full time activity","Male","Female","Different sex",19.16667,"11-20","Cohabiting","1","6","7",19,22,"1-5x","1-5x","1-5x","1-5x","0x","0x","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times","1 to 5 times","Not at all","Not at all","6 to 10 times","11 to 20 times","1 to 5 times","6-10y. younger partner",18,20,"1 - Not at all","4","7","7",10,12,10,12,7,5,5,7,10,3,2,25,3,0,7,12,13,8,9,"West Germany","West Germany","Rural area","Rural area","Married",13,"6-13",3,3
49,47,"Full time activity","Part-time activity","Male","Female","Different sex",29.33333,"21+","Cohabiting","3+","7","5",17,13,"1-5x","0x","1-5x","0x","0x","0x","1 to 5 times","Not at all","1 to 5 times","More than 50 times","11 to 20 times","11 to 20 times","Not at all","Not at all","Not at all","21 to 50 times","11 to 20 times","11 to 20 times","2-5y. younger partner",21,19,"1 - Not at all","4","8","7",13,11,9,14,6,5,6,12,8,3,4,20,10,8,6,8,9,8,9,"East Germany","East Germany","Town or suburb","Town or suburb","Married",17,"6-13",6,6
40,43,"Part-time activity","Full time activity","Female","Male","Different sex",16.83333,"11-20","Cohabiting","3+","7","7",19,24,"11-20x","0x","1-5x","11-20x","1-5x","1-5x","11 to 20 times","Not at all","1 to 5 times","21 to 50 times","21 to 50 times","21 to 50 times","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","1 to 5 times","2-5y. older partner",23,22,"3","1 - Not at all","7","7",11,12,9,10,11,7,4,12,14,3,4,9,2,3,12,11,12,12,5,"West Germany","West Germany","Town or suburb","Town or suburb","Married",12,"2-5",6,6
41,41,"Part-time activity","Full time activity","Female","Male","Different sex",26.33333,"21+","Cohabiting","1","7","8",20,19,"6-10x","1-5x","1-5x","6-10x","1-5x","1-5x","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","Not at all","Same age",24,23,"3","2","7","8",9,9,14,10,8,6,6,9,12,3,3,8,5,2,10,11,13,10,6,"East Germany","East Germany","Rural area","Rural area","Married",11,"6-13",3,4
49,49,"Part-time activity","Full time activity","Female","Male","Different sex",33.08333,"21+","Cohabiting","2","9","8",21,28,"1-5x","6-10x","6-10x","6-10x","11-20x","6-10x","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","11 to 20 times","Same age",22,30,"1 - Not at all","1 - Not at all","8","8",13,10,12,11,6,4,5,13,13,4,3,11,0,0,10,10,11,7,8,"West Germany","West Germany","Rural area","Rural area","Married",11,"18+",3,3
40,46,"Part-time activity","Full time activity","Female","Male","Different sex",11.25,"11-20","Cohabiting","2","8","9",22,21,"11-20x","1-5x","1-5x","21-50x","11-20x","1-5x","11 to 20 times","1 to 5 times","1 to 5 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","1 to 5 times","21 to 50 times","11 to 20 times","1 to 5 times","6-10y. older partner",23,24,"1 - Not at all","1 - Not at all","6","9",9,10,11,9,12,7,3,11,15,2,4,14,4,0,9,11,10,7,3,"East Germany","East Germany","Rural area","Rural area","Married",16,"2-5",6,3
30,29,"Full time activity","Home","Male","Female","Different sex",5.916667,"3-5","Cohabiting","1","10 - Completely satisfied","9",23,26,"21-50x","> 50x","11-20x","11-20x","11-20x","11-20x","21 to 50 times","More than 50 times","11 to 20 times","21 to 50 times","More than 50 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","Same age",25,25,"1 - Not at all","1 - Not at all","9","9",9,10,11,9,6,4,3,13,13,4,5,15,0,0,13,11,12,10,6,"West Germany","West Germany","Town or suburb","Town or suburb","Married",9,"0-1",3,6
41,40,"Full time activity","Full time activity","Male","Female","Different sex",9.416667,"6-10","Cohabiting","2","3","9",13,,"0x","1-5x","0x","21-50x","6-10x","6-10x","Not at all","1 to 5 times","Not at all","6 to 10 times","11 to 20 times","1 to 5 times","21 to 50 times","6 to 10 times","6 to 10 times","No answer","No answer","No answer","Same age",20,,"2","2","7","8",11,8,12,9,8,5,5,12,10,3,4,21,2,6,9,10,9,11,7,"West Germany","West Germany","City","City","Married",13,"2-5",6,6
50,36,"Full time activity","Full time activity","Male","Female","Different sex",11.33333,"11-20","Cohabiting","2","8","3",22,22,"1-5x","1-5x","1-5x","21-50x","21-50x","21-50x","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","> 10y. younger partner",24,20,"1 - Not at all","3","7","3",12,10,14,12,7,5,8,13,11,4,4,16,4,5,10,10,14,9,11,"West Germany","West Germany","Town or suburb","Town or suburb","Not married",21,"6-13",4,6
30,31,"Full time activity","Full time activity","Male","Female","Different sex",3,"3-5","Cohabiting","0","9","10 - Completely satisfied",27,26,"> 50x","21-50x","11-20x","> 50x","21-50x","21-50x","More than 50 times","21 to 50 times","11 to 20 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","Same age",27,26,"1 - Not at all","2","9","9",8,9,14,10,7,3,4,13,9,4,4,15,0,5,9,15,12,11,9,"West Germany","West Germany","Rural area","Rural area","Not married",13,,6,6
40,38,"Full time activity","Home","Male","Female","Different sex",21,"21+","Cohabiting","2","9","9",24,25,"21-50x","1-5x","21-50x","> 50x","11-20x","11-20x","21 to 50 times","1 to 5 times","21 to 50 times","21 to 50 times","1 to 5 times","21 to 50 times","More than 50 times","11 to 20 times","11 to 20 times","More than 50 times","21 to 50 times","11 to 20 times","2-5y. younger partner",22,25,"2","1 - Not at all","5","6",8,12,10,9,9,6,6,9,7,3,2,10,2,1,9,12,9,14,11,"West Germany","West Germany","Town or suburb","Town or suburb","Married",13,"6-13",4,4
50,50,"Full time activity","Part-time activity","Male","Female","Different sex",33.41667,"21+","Cohabiting","2","10 - Completely satisfied","6",21,,"> 50x","> 50x","> 50x","> 50x","> 50x","> 50x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","Same age",21,,"2","3","6","3",5,12,10,10,7,6,8,11,6,3,3,18,5,0,8,8,11,8,12,"West Germany","West Germany","Town or suburb","Town or suburb","Married",26,"18+",4,3
41,37,"Full time activity","Full time activity","Male","Female","Different sex",7.25,"6-10","Cohabiting","0","10 - Completely satisfied","9",24,23,"11-20x","11-20x","11-20x","11-20x","1-5x","1-5x","11 to 20 times","11 to 20 times","11 to 20 times","Not at all","Not at all","Not at all","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","6 to 10 times","2-5y. younger partner",25,21,"1 - Not at all","2","10 - Completely satisfied","8",7,14,15,7,4,3,5,14,10,5,3,20,0,4,9,12,11,8,9,"West Germany","West Germany","Town or suburb","Town or suburb","Married",13,,3,3
39,40,"Full time activity","Full time activity","Male","Female","Different sex",15.83333,"11-20","Cohabiting","2","7","7",20,20,"6-10x","1-5x","1-5x","1-5x","1-5x","1-5x","6 to 10 times","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","Same age",26,22,"1 - Not at all","1 - Not at all","8","8",11,12,10,8,4,3,6,15,8,4,4,11,0,0,6,7,10,9,10,"East Germany","East Germany","Town or suburb","Town or suburb","Married",9,"6-13",6,6
51,51,"Full time activity","Full time activity","Female","Male","Different sex",31,"21+","Cohabiting","3+","9","10 - Completely satisfied",28,22,"> 50x","21-50x","6-10x","21-50x","21-50x","21-50x","More than 50 times","21 to 50 times","6 to 10 times","More than 50 times","21 to 50 times","6 to 10 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","Same age",27,27,"1 - Not at all","1 - Not at all","8","10 - Completely satisfied",11,14,11,9,3,3,4,13,13,4,5,20,7,8,11,13,10,7,5,"West Germany","West Germany","Town or suburb","Town or suburb","Married",26,"14-17",3,4
49,50,"Full time activity","Part-time activity","Male","Female","Different sex",17.5,"11-20","Cohabiting","2","8","7",22,22,"11-20x","1-5x","0x","21-50x","21-50x","21-50x","11 to 20 times","1 to 5 times","Not at all","11 to 20 times","1 to 5 times","Not at all","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","Same age",20,21,"2","1 - Not at all","6","8",10,11,11,9,7,6,6,12,15,4,4,15,6,8,6,12,10,7,8,"West Germany","West Germany","City","City","Married",8,"6-13",6,4
31,31,"Full time activity","Full time activity","Male","Female","Different sex",8.666667,"6-10","Cohabiting","2","7","8",23,22,"6-10x","11-20x","11-20x","6-10x","6-10x","1-5x","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","6 to 10 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times","Same age",20,23,"4","2","7","8",10,8,9,10,8,4,3,11,12,4,4,19,0,0,7,10,12,10,6,"East Germany","East Germany","City","City","Married",8,"0-1",3,6
32,29,"Full time activity","Home","Female","Male","Different sex",7.916667,"6-10","Cohabiting","2","8","8",23,,"1-5x","6-10x","1-5x","6-10x","6-10x","1-5x","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","11 to 20 times","2-5y. younger partner",24,,"4","1 - Not at all","8","6",12,15,11,13,6,5,5,8,10,3,3,11,10,10,12,11,14,9,7,"West Germany","West Germany","City","City","Married",26,"2-5",6,3
51,37,"Full time activity","Part-time activity","Male","Female","Different sex",19.5,"11-20","Cohabiting","2","8","9",22,23,"11-20x","6-10x","6-10x","1-5x","6-10x","11-20x","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","1 to 5 times","6 to 10 times","11 to 20 times","1 to 5 times","6 to 10 times","11 to 20 times","> 10y. younger partner",25,26,"1 - Not at all","1 - Not at all","8","8",8,10,9,10,7,3,3,15,15,4,4,23,3,5,11,11,10,11,5,"West Germany","West Germany","City","City","Married",8,"6-13",3,6
50,55,"Home",,"Female","Male","Different sex",23.41667,"21+","Cohabiting","0","7","8",20,21,"11-20x","1-5x","1-5x","11-20x","11-20x","11-20x","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","2-5y. older partner",20,25,"3","1 - Not at all","6","7",8,10,11,12,8,5,7,12,11,3,3,14,7,0,8,7,7,11,12,"West Germany","West Germany","Town or suburb","Town or suburb","Married",14,,4,3
51,52,"Full time activity","Full time activity","Male","Female","Different sex",2.333333,"0-2","Cohabiting","1","10 - Completely satisfied","10 - Completely satisfied",28,27,"> 50x","> 50x","> 50x","> 50x","> 50x","> 50x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","Same age",28,28,"1 - Not at all","1 - Not at all","9","10 - Completely satisfied",9,10,13,12,7,4,4,14,14,4,3,7,1,1,7,13,9,11,9,"West Germany","West Germany","City","City","Married",7,"18+",3,3
31,49,"Full time activity","Full time activity","Female","Female","Same sex",6.666667,"6-10","Cohabiting","0","7","10 - Completely satisfied",24,26,"21-50x","> 50x","21-50x","> 50x","> 50x","21-50x","21 to 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times","> 10y. older partner",25,27,"3","1 - Not at all","3","8",8,11,15,14,13,9,4,6,15,4,4,7,7,2,12,11,13,12,6,"West Germany","West Germany","Town or suburb","Town or suburb","Married",8,,6,3
50,50,"Part-time activity","Full time activity","Female","Male","Different sex",3.833333,"3-5","Cohabiting","1","10 - Completely satisfied","9",27,,"> 50x","> 50x","21-50x","> 50x","> 50x","> 50x","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","Same age",21,,"1 - Not at all","1 - Not at all","9","9",9,10,10,9,9,5,4,10,11,4,5,16,5,7,9,11,13,11,5,"West Germany","West Germany","City","City","Not married",17,"14-17",3,6
39,39,"Part-time activity","Full time activity","Female","Male","Different sex",15.75,"11-20","Cohabiting","2","5","2",12,11,"1-5x","1-5x","0x","1-5x","0x","0x","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","Not at all","Not at all","11 to 20 times","6 to 10 times","1 to 5 times","Same age",20,15,"4","3","7","5",11,9,13,9,11,4,6,12,12,5,3,14,2,6,7,9,7,11,9,"West Germany","West Germany","Town or suburb","Town or suburb","Married",15,"2-5",6,6
