age,page,workst,pworkst,sex,psex,samesex,reldur,reldur_class,cohab,nkidsliv_class,relsat,prelsat,relint,prelint,tf_kiss,tf_hold,tf_hug,ptf_kiss,ptf_hold,ptf_hug,omo15i1_w2b,omo16i1_w2b,omo17i1_w2b,omo15i2_w2b,omo16i2_w2b,omo17i2_w2b,pomo15i1_w2b,pomo16i1_w2b,pomo17i1_w2b,pomo15i2_w2b,pomo16i2_w2b,pomo17i2_w2b,agediff_class,confm,pconfm,loneliness,ploneliness,lifsat,plifsat,extr,agree,consc,open,neur,depr,pdepr,self,pself,health,phealth,consv,god,pgod,pextr,pagree,pconsc,popen,pneur,east,peast,degurba,pdegurba,married,pconsv,ykage_class_w2b
31,31,"Full time activity","Full time activity","Male","Female","Different sex",5.833333,"3-5","Cohabiting","0","8","8",23,26,"> 50x","21-50x","6-10x","> 50x","11-20x","21-50x","More than 50 times","21 to 50 times","6 to 10 times","More than 50 times","21 to 50 times","6 to 10 times","More than 50 times","11 to 20 times","21 to 50 times","More than 50 times","11 to 20 times","21 to 50 times","Same age",25,28,"2","3","7","8",8,9,8,6,11,5,7,8,6,3,4,8,0,6,8,9,10,5,10,"East Germany","East Germany","Town or suburb","Town or suburb","Not married",13,
46,43,"Full time activity","Part-time activity","Male","Female","Different sex",24.41667,"21+","Cohabiting","1","10 - Completely satisfied","7",21,18,"6-10x","1-5x","0x","1-5x","6-10x","6-10x","6 to 10 times","1 to 5 times","Not at all","6 to 10 times","1 to 5 times","Not at all","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","2-5y. younger partner",23,22,"1 - Not at all","3","6","7",9,10,9,11,7,5,7,12,8,3,2,11,3,10,10,10,10,11,11,"East Germany","East Germany","Rural area","Rural area","Married",15,"6-13"
34,44,"Home","Full time activity","Female","Male","Different sex",6.833333,"6-10","Cohabiting","1","10 - Completely satisfied","9",23,25,"21-50x","0x","1-5x","21-50x","6-10x","1-5x","21 to 50 times","Not at all","1 to 5 times","11 to 20 times","Not at all","1 to 5 times","21 to 50 times","6 to 10 times","1 to 5 times","More than 50 times","6 to 10 times","1 to 5 times","6-10y. older partner",26,20,"4","1 - Not at all","7","7",10,12,15,10,11,4,3,12,15,3,4,18,0,0,11,8,10,7,8,"West Germany","West Germany","Rural area","Rural area","Not married",19,"0-1"
44,47,"Full time activity","Full time activity","Female","Male","Different sex",23.66667,"21+","Cohabiting","3+","10 - Completely satisfied","10 - Completely satisfied",27,26,"21-50x","21-50x","21-50x","11-20x","21-50x","1-5x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","1 to 5 times","11 to 20 times","21 to 50 times","1 to 5 times","2-5y. older partner",25,23,"1 - Not at all","1 - Not at all","9","9",8,11,13,10,8,5,3,13,12,5,4,21,10,10,11,12,12,13,6,"West Germany","West Germany","City","City","Married",18,"6-13"
41,40,"Full time activity","Part-time activity","Male","Female","Different sex",20.58333,"11-20","Cohabiting","1","3","1",8,,"0x","0x","0x","0x","0x","0x","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Same age",21,,"4","3","3","1",13,9,11,6,11,6,7,9,9,4,2,22,6,0,10,12,11,8,10,"West Germany","West Germany","Town or suburb","Town or suburb","Married",14,"6-13"
36,33,"Full time activity","Home","Male","Female","Different sex",8.916667,"6-10","Cohabiting","2","10 - Completely satisfied","10 - Completely satisfied",25,26,"21-50x","11-20x","21-50x","11-20x","21-50x","21-50x","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","2-5y. younger partner",28,27,"1 - Not at all","2","7","9",8,8,10,5,7,4,5,12,12,5,4,11,4,6,8,11,15,7,7,"West Germany","West Germany","Rural area","Rural area","Married",12,"0-1"
51,50,"Full time activity","Full time activity","Female","Male","Different sex",25.25,"21+","Cohabiting","1","7","6",19,15,"0x","1-5x","1-5x","0x","0x","0x","Not at all","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","Not at all","Not at all","Not at all","1 to 5 times","6 to 10 times","1 to 5 times","Same age",17,22,"1 - Not at all","4","9","9",11,12,7,13,8,3,5,14,10,4,4,18,3,8,11,11,14,9,8,"West Germany","West Germany","Town or suburb","Town or suburb","Married",23,"14-17"
33,32,"Full time activity","Full time activity","Female","Male","Different sex",2,"0-2","Cohabiting","0","10 - Completely satisfied","8",28,22,"11-20x","> 50x","11-20x","21-50x","1-5x","21-50x","11 to 20 times","More than 50 times","11 to 20 times","11 to 20 times","More than 50 times","11 to 20 times","21 to 50 times","1 to 5 times","21 to 50 times","21 to 50 times","1 to 5 times","11 to 20 times","Same age",29,24,"1 - Not at all","1 - Not at all","8","8",8,12,12,6,7,5,5,13,12,4,4,15,1,2,9,9,7,12,5,"West Germany","West Germany","Town or suburb","Town or suburb","Not married",13,
38,32,"Part-time activity","Full time activity","Female","Male","Different sex",12.66667,"11-20","Cohabiting","1","8","9",22,25,"1-5x","6-10x","1-5x","1-5x","1-5x","1-5x","1 to 5 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times","6-10y. younger partner",27,24,"1 - Not at all","1 - Not at all","7","8",11,11,14,11,10,5,3,13,14,4,4,11,0,0,7,14,9,7,5,"West Germany","West Germany","Town or suburb","Town or suburb","Not married",16,"2-5"
39,50,"Part-time activity","Full time activity","Female","Male","Different sex",14.41667,"11-20","Cohabiting","2","8","7",21,,"6-10x","11-20x","0x","6-10x","6-10x","1-5x","6 to 10 times","11 to 20 times","Not at all","21 to 50 times","11 to 20 times","Not at all","6 to 10 times","6 to 10 times","1 to 5 times","Not at all","Not at all","Not at all","> 10y. older partner",23,,"1 - Not at all","4","5","8",9,10,11,9,13,6,5,7,11,2,3,8,4,3,7,10,12,9,6,"West Germany","West Germany","City","City","Married",17,"2-5"
34,35,"Full time activity","Full time activity","Male","Female","Different sex",7.5,"6-10","Cohabiting","3+","9","9",24,24,"11-20x","6-10x","21-50x","11-20x","11-20x","6-10x","11 to 20 times","6 to 10 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","11 to 20 times","Same age",28,23,"1 - Not at all","2","9","9",,11,12,9,8,4,3,13,13,4,4,11,0,0,9,11,8,5,5,"East Germany","East Germany","City","City","Not married",10,"2-5"
30,32,"Full time activity","Full time activity","Female","Male","Different sex",10.41667,"6-10","Cohabiting","0","10 - Completely satisfied","8",24,24,"11-20x","11-20x","11-20x","11-20x","6-10x","0x","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","6 to 10 times","Not at all","21 to 50 times","11 to 20 times","Not at all","2-5y. older partner",28,28,"1 - Not at all","3","9","8",13,14,13,12,5,3,3,15,13,5,4,16,5,0,9,8,9,10,5,"West Germany","West Germany","Rural area","Rural area","Not married",23,
23,31,"Full time activity","Full time activity","Female","Male","Different sex",,,"Separate households","0","9","9",25,21,"> 50x","> 50x","> 50x","> 50x","> 50x","> 50x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","6-10y. older partner",26,29,"2","2","7","9",9,9,8,10,13,7,5,9,13,4,4,12,7,0,9,13,8,12,6,"West Germany","West Germany","Town or suburb","City","Not married",9,
37,50,"Part-time activity","Part-time activity","Female","Male","Different sex",8.416667,"6-10","Cohabiting","2","7","4",17,13,"1-5x","6-10x","1-5x","6-10x","0x","0x","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","6 to 10 times","Not at all","Not at all","6 to 10 times","1 to 5 times","1 to 5 times","> 10y. older partner",22,22,"1 - Not at all","2","5","7",10,11,9,13,9,6,4,15,12,4,3,15,10,7,7,10,8,10,4,"West Germany","West Germany","Town or suburb","Town or suburb","Married",10,"2-5"
44,39,"Full time activity","Full time activity","Female","Male","Different sex",,,"Cohabiting","0","9","8",21,24,"6-10x","1-5x","6-10x","1-5x","1-5x","1-5x","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times","2-5y. younger partner",25,26,"1 - Not at all","1 - Not at all","8","8",10,13,9,11,6,3,4,12,12,4,3,14,0,1,8,9,13,14,5,"East Germany","East Germany","City","Rural area","Not married",13,
32,28,"Full time activity","Part-time activity","Male","Female","Different sex",4.416667,"3-5","Cohabiting","0","8","9",25,22,"21-50x","> 50x","> 50x","21-50x","11-20x","11-20x","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","2-5y. younger partner",24,24,"1 - Not at all","4","8","8",6,12,12,11,5,5,6,14,10,5,4,15,0,0,10,13,12,13,9,"West Germany","West Germany","City","City","Not married",13,
31,32,"Full time activity","Full time activity","Female","Male","Different sex",14.33333,"11-20","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",24,23,"21-50x","11-20x","11-20x","21-50x","1-5x","6-10x","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","1 to 5 times","6 to 10 times","21 to 50 times","1 to 5 times","6 to 10 times","Same age",27,24,"2","1 - Not at all","7","9",13,10,11,13,9,6,4,15,13,5,4,11,0,0,7,10,10,9,9,"West Germany","West Germany","City","City","Married",11,
32,32,"Full time activity","Full time activity","Male","Female","Different sex",10.33333,"6-10","Cohabiting","1","9","10 - Completely satisfied",23,27,"11-20x","21-50x","11-20x","21-50x","21-50x","21-50x","11 to 20 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","Same age",23,25,"2","1 - Not at all","9","9",8,9,9,8,6,5,5,10,13,4,4,13,1,0,12,10,11,11,7,"West Germany","East Germany","City","City","Married",11,"0-1"
31,44,"Full time activity","Full time activity","Female","Male","Different sex",3.75,"3-5","Cohabiting","1","9","9",23,26,"21-50x","11-20x","11-20x","21-50x","21-50x","21-50x","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times","> 10y. older partner",24,24,"2","1 - Not at all","8","8",12,12,15,12,10,7,4,8,15,4,4,10,7,6,10,13,13,8,3,"West Germany","West Germany","Rural area","Rural area","Not married",7,
47,56,"Full time activity","Home","Female","Male","Different sex",23.25,"21+","Cohabiting","2","10 - Completely satisfied","10 - Completely satisfied",25,27,"21-50x","21-50x","21-50x","6-10x","21-50x","6-10x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","6 to 10 times","21 to 50 times","6 to 10 times","11 to 20 times","21 to 50 times","11 to 20 times","6-10y. older partner",27,29,"1 - Not at all","1 - Not at all","9","9",9,11,10,11,5,5,6,11,11,3,4,13,0,0,6,11,10,6,9,"West Germany","West Germany","Town or suburb","Town or suburb","Married",10,"14-17"
29,29,"Home","Full time activity","Female","Male","Different sex",6.166667,"6-10","Cohabiting","1","9","10 - Completely satisfied",21,22,"11-20x","11-20x","6-10x","21-50x","6-10x","6-10x","11 to 20 times","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","6 to 10 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","Same age",23,26,"3","1 - Not at all","10 - Completely satisfied","9",10,14,12,12,6,4,3,13,14,5,5,19,5,0,8,14,8,8,5,"West Germany","West Germany","City","City","Married",16,"0-1"
42,48,"Full time activity","Full time activity","Female","Male","Different sex",24.66667,"21+","Cohabiting","2","5","5",19,14,"1-5x","0x","0x","6-10x","1-5x","0x","1 to 5 times","Not at all","Not at all","Not at all","Not at all","Not at all","6 to 10 times","1 to 5 times","Not at all","21 to 50 times","11 to 20 times","6 to 10 times","6-10y. older partner",16,19,"4","4","7","7",8,13,15,8,5,4,3,11,11,4,4,16,0,0,10,11,12,6,5,"West Germany","West Germany","City","City","Married",18,"14-17"
33,36,"Home","Part-time activity","Female","Female","Same sex",6,"6-10","Cohabiting","1","8","9",25,22,"11-20x","6-10x","6-10x","11-20x","6-10x","1-5x","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times","2-5y. older partner",28,23,"2","1 - Not at all","8","8",11,12,13,13,6,4,3,13,14,4,4,7,3,7,9,12,11,7,8,"East Germany","East Germany","Town or suburb","Town or suburb","Married",13,"0-1"
44,38,"Full time activity","Part-time activity","Female","Female","Same sex",10.41667,"6-10","Cohabiting","2","10 - Completely satisfied","10 - Completely satisfied",20,25,"> 50x","21-50x","21-50x","21-50x","6-10x","11-20x","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","21 to 50 times","6 to 10 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","6-10y. younger partner",23,22,"1 - Not at all","5 - Absolutely","6","8",10,12,12,8,7,7,6,13,9,3,3,11,10,6,8,10,10,10,7,"West Germany","West Germany","Town or suburb","Town or suburb","Married",10,"2-5"
47,46,"Part-time activity","Full time activity","Female","Male","Different sex",19.75,"11-20","Cohabiting","0","9","8",21,15,"21-50x","21-50x","6-10x","6-10x","11-20x","6-10x","21 to 50 times","21 to 50 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","Same age",23,21,"3","1 - Not at all","9","8",9,10,14,10,8,6,4,9,13,3,4,16,0,0,7,8,9,9,5,"West Germany","West Germany","Rural area","Rural area","Married",15,
51,51,"Part-time activity","Full time activity","Female","Male","Different sex",34.5,"21+","Cohabiting","2","10 - Completely satisfied","9",29,25,"11-20x","6-10x","6-10x","6-10x","1-5x","1-5x","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","Same age",28,26,"1 - Not at all","1 - Not at all","10 - Completely satisfied","9",10,9,12,8,7,3,4,15,14,4,4,8,6,6,10,12,15,10,8,"West Germany","West Germany","City","City","Married",8,"14-17"
41,40,"Full time activity",,"Male","Female","Different sex",23.33333,"21+","Cohabiting","2","8","9",23,26,"1-5x","1-5x","1-5x","6-10x","6-10x","1-5x","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","1 to 5 times","Same age",24,25,"2","2","8","8",10,9,12,10,8,5,5,12,9,3,3,15,8,9,7,13,11,9,7,"West Germany","West Germany","Town or suburb","Town or suburb","Married",11,"6-13"
40,44,,"Full time activity","Female","Male","Different sex",12.25,"11-20","Cohabiting","3+","5","5",18,,"6-10x","11-20x","6-10x","0x","0x","1-5x","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","Not at all","Not at all","1 to 5 times","More than 50 times","Not at all","1 to 5 times","2-5y. older partner",15,,"4","1 - Not at all","5","6",10,9,9,8,11,6,3,8,15,3,3,20,8,0,13,11,11,5,5,"West Germany","West Germany","Rural area","Rural area","Not married",21,"2-5"
46,45,"Part-time activity","Full time activity","Female","Male","Different sex",25.08333,"21+","Cohabiting","2","8","6",18,18,"0x","0x","0x","0x","1-5x","0x","Not at all","Not at all","Not at all","6 to 10 times","1 to 5 times","Not at all","Not at all","1 to 5 times","Not at all","1 to 5 times","6 to 10 times","1 to 5 times","Same age",22,19,"3","1 - Not at all","8","6",9,9,12,8,5,3,5,11,7,3,3,12,6,2,10,9,8,8,10,"West Germany","West Germany","Town or suburb","Town or suburb","Married",18,"14-17"
42,49,"Part-time activity","Full time activity","Female","Male","Different sex",16.08333,"11-20","Cohabiting","1","9","8",21,18,"11-20x","0x","1-5x","6-10x","0x","1-5x","11 to 20 times","Not at all","1 to 5 times","11 to 20 times","Not at all","1 to 5 times","6 to 10 times","Not at all","1 to 5 times","6 to 10 times","Not at all","1 to 5 times","6-10y. older partner",24,25,"1 - Not at all","1 - Not at all","5","5",8,12,12,6,6,4,3,13,12,2,3,12,0,0,7,10,9,7,8,"East Germany","East Germany","City","City","Married",9,"6-13"
51,52,"Part-time activity","Full time activity","Female","Male","Different sex",20.58333,"11-20","Cohabiting","2","10 - Completely satisfied","9",21,22,"11-20x","11-20x","11-20x","11-20x","21-50x","11-20x","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","Same age",25,23,"1 - Not at all","2","9","8",10,12,13,11,7,3,4,14,14,4,4,18,2,5,9,12,14,11,7,"West Germany","West Germany","City","City","Married",20,"6-13"
48,44,"Full time activity","Full time activity","Female","Male","Different sex",10.66667,"6-10","Cohabiting","1","8","10 - Completely satisfied",22,23,"21-50x","21-50x","21-50x","> 50x","21-50x","11-20x","21 to 50 times","21 to 50 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","21 to 50 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","2-5y. younger partner",23,25,"4","3","8","9",11,13,12,12,6,6,5,13,12,4,4,11,3,1,12,13,10,15,5,"West Germany","West Germany","Town or suburb","Town or suburb","Not married",9,"6-13"
42,40,"Home","Full time activity","Male","Female","Different sex",8.25,"6-10","Cohabiting","2","9","10 - Completely satisfied",22,22,"6-10x","11-20x","6-10x","6-10x","1-5x","6-10x","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","1 to 5 times","6 to 10 times","11 to 20 times","1 to 5 times","6 to 10 times","2-5y. younger partner",24,26,"3","1 - Not at all","9","6",7,13,12,11,6,3,4,15,15,5,3,13,0,0,9,14,8,11,5,"East Germany","East Germany","Town or suburb","Town or suburb","Married",16,"2-5"
28,32,"Full time activity","Full time activity","Female","Male","Different sex",2.333333,"0-2","Cohabiting","0","10 - Completely satisfied","9",26,25,"> 50x","21-50x","21-50x","> 50x","> 50x","> 50x","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","2-5y. older partner",27,23,"2","1 - Not at all","9","7",12,10,14,10,10,5,6,12,13,4,4,9,0,3,10,12,8,11,9,"West Germany","West Germany","City","City","Not married",21,
42,50,"Full time activity","Full time activity","Female","Male","Different sex",6,"6-10","Cohabiting","3+","7","9",20,21,"21-50x","21-50x","21-50x","11-20x","11-20x","11-20x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","More than 50 times","21 to 50 times","6-10y. older partner",24,27,"2","2","7","7",11,13,12,13,9,5,4,13,11,4,5,13,1,6,10,,11,10,6,"West Germany","West Germany","City","City","Not married",7,"6-13"
48,43,"Full time activity","Part-time activity","Male","Female","Different sex",12.25,"11-20","Cohabiting","2","7","6",20,,"1-5x","1-5x","1-5x","1-5x","1-5x","1-5x","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","2-5y. younger partner",22,,"1 - Not at all","2","8","7",10,10,9,11,8,5,6,13,8,4,4,11,2,8,8,15,9,14,12,"East Germany","East Germany","Town or suburb","Town or suburb","Married",11,"6-13"
31,28,"Full time activity","Full time activity","Male","Female","Different sex",10.41667,"6-10","Cohabiting","0","9","9",19,24,"11-20x","21-50x","11-20x","6-10x","6-10x","6-10x","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","2-5y. younger partner",21,23,"1 - Not at all","1 - Not at all","6","7",9,10,9,10,7,5,5,11,14,3,4,15,6,7,8,11,10,8,5,"West Germany","West Germany","Town or suburb","City","Married",16,
50,42,"Full time activity","Full time activity","Female","Male","Different sex",13.5,"11-20","Cohabiting","0","8","9",21,,"6-10x","6-10x","1-5x","1-5x","6-10x","11-20x","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","6-10y. younger partner",24,,"2","2","5","6",7,9,13,15,9,6,9,9,6,3,3,12,5,0,5,9,8,8,10,"West Germany","West Germany","Town or suburb","Town or suburb","Married",15,
42,36,"Full time activity","Part-time activity","Male","Female","Different sex",11.25,"11-20","Cohabiting","3+","6","8",,,"1-5x","1-5x","1-5x","6-10x","6-10x","6-10x","1 to 5 times","1 to 5 times","1 to 5 times","11 to 20 times","21 to 50 times","21 to 50 times","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","6-10y. younger partner",,,"3","2","6","8",10,11,15,5,7,4,6,13,10,4,4,20,0,0,9,9,9,10,8,"West Germany","West Germany","Rural area","Rural area","Not married",9,"2-5"
50,48,"Full time activity","Part-time activity","Male","Female","Different sex",6.083333,"6-10","Cohabiting","2","9","10 - Completely satisfied",20,22,"21-50x","6-10x","6-10x","21-50x","21-50x","6-10x","21 to 50 times","6 to 10 times","6 to 10 times","21 to 50 times","6 to 10 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","2-5y. younger partner",22,24,"1 - Not at all","1 - Not at all","6","7",8,10,8,7,6,3,4,13,11,4,3,18,2,3,13,11,11,6,8,"West Germany","West Germany","City","City","Married",12,
27,27,"Full time activity","Full time activity","Female","Male","Different sex",8.5,"6-10","Cohabiting","0","9","7",19,23,"21-50x","11-20x","11-20x","21-50x","21-50x","> 50x","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","Same age",24,24,"2","1 - Not at all","10 - Completely satisfied","8",11,12,13,11,7,5,3,8,15,4,4,15,0,0,12,10,9,5,5,"West Germany","West Germany","City","City","Not married",13,
35,34,"Full time activity","Part-time activity","Male","Female","Different sex",14.66667,"11-20","Cohabiting","2","9","8",24,22,"6-10x","11-20x","11-20x","11-20x","1-5x","6-10x","6 to 10 times","11 to 20 times","11 to 20 times","Not at all","Not at all","Not at all","11 to 20 times","1 to 5 times","6 to 10 times","21 to 50 times","6 to 10 times","11 to 20 times","Same age",21,17,"1 - Not at all","1 - Not at all","10 - Completely satisfied","8",9,5,11,8,5,3,4,13,13,4,4,7,0,2,12,12,10,10,9,"West Germany","West Germany","City","City","Married",8,"2-5"
47,40,"Part-time activity","Full time activity","Male","Female","Different sex",19.16667,"11-20","Cohabiting","1","9","8",24,26,"11-20x","1-5x","1-5x","11-20x","11-20x","11-20x","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","21 to 50 times","6-10y. younger partner",23,25,"1 - Not at all","1 - Not at all","9","8",10,9,9,14,9,3,5,13,14,5,4,8,1,0,8,14,8,15,7,"West Germany",,"City",,"Married",10,"6-13"
43,44,"Full time activity","Full time activity","Male","Female","Different sex",14.5,"11-20","Cohabiting","1","7","6",20,16,"1-5x","1-5x","0x","1-5x","1-5x","1-5x","1 to 5 times","1 to 5 times","Not at all","11 to 20 times","11 to 20 times","Not at all","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","Same age",20,18,"2","3","7","6",10,11,10,12,7,6,6,10,8,4,4,11,2,3,10,10,12,12,10,"West Germany","West Germany","Town or suburb","Town or suburb","Married",14,"14-17"
39,40,"Full time activity","Full time activity","Female","Male","Different sex",17.33333,"11-20","Cohabiting","0","10 - Completely satisfied","9",25,24,"11-20x","> 50x","1-5x","6-10x","6-10x","1-5x","11 to 20 times","More than 50 times","1 to 5 times","11 to 20 times","More than 50 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times","Same age",26,22,"5 - Absolutely","1 - Not at all","10 - Completely satisfied","8",7,14,14,6,7,4,3,15,14,4,5,19,5,0,9,8,8,8,7,"West Germany",,"Town or suburb",,"Married",9,
35,48,"Full time activity","Home","Female","Male","Different sex",4.166667,"3-5","Cohabiting","1","8","8",19,,"11-20x","11-20x","6-10x","21-50x","1-5x","1-5x","11 to 20 times","11 to 20 times","6 to 10 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","1 to 5 times","1 to 5 times","21 to 50 times","1 to 5 times","1 to 5 times","> 10y. older partner",24,,"1 - Not at all","1 - Not at all","8","9",12,13,12,14,9,6,3,10,13,4,4,14,10,4,6,9,13,7,4,"West Germany","West Germany","Rural area","Rural area","Not married",16,"2-5"
44,40,"Part-time activity","Part-time activity","Male","Female","Different sex",21.58333,"21+","Cohabiting","2","8","7",20,21,"6-10x","1-5x","1-5x","1-5x","1-5x","1-5x","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","2-5y. younger partner",19,21,"1 - Not at all","1 - Not at all","7","8",10,10,9,10,9,4,4,13,15,4,4,19,1,1,10,12,11,12,6,"West Germany","West Germany","Rural area","Rural area","Married",25,"6-13"
42,50,"Part-time activity","Full time activity","Female","Male","Different sex",20.83333,"11-20","Cohabiting","2","7","8",15,18,"21-50x","11-20x","11-20x","21-50x","0x","11-20x","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","Not at all","11 to 20 times","More than 50 times","Not at all","11 to 20 times","6-10y. older partner",20,16,"3","1 - Not at all","8","7",5,10,9,5,8,5,4,10,12,4,3,9,0,0,9,11,,9,9,"East Germany","East Germany","Rural area","Rural area","Married",11,"6-13"
38,38,"Full time activity",,"Male","Female","Different sex",7.166667,"6-10","Cohabiting","2","7","7",24,19,"6-10x","1-5x","1-5x","11-20x","11-20x","6-10x","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","21 to 50 times","21 to 50 times","11 to 20 times","Same age",21,23,"1 - Not at all","1 - Not at all","9","7",6,13,10,13,12,4,5,7,13,5,3,13,1,1,11,14,11,12,7,"East Germany","East Germany","City","City","Not married",11,"2-5"
